observation_id,common_name,scientific_name,relative_path,observed_on,photo_count,latitude,longitude,user_login,inat_url,query_species,image_1,image_2
169850251,Abert's Towhee,Melozone aberti,images/Aberts_Towhee/169850251,2023-06-24 18:29:00,2,33.6722030096,-116.2557523689,dlm1965,https://www.inaturalist.org/observations/169850251,Aberts Towhee,294504440.jpg,294504418.jpg
195708204,Abert's Towhee,Melozone aberti,images/Aberts_Towhee/195708204,2024-01-02 08:49:00,2,36.1169462822,-114.8405972595,lonnyholmes,https://www.inaturalist.org/observations/195708204,Aberts Towhee,344371078.jpg,344370869.jpg
133917760,Acorn Woodpecker,Melanerpes formicivorus,images/Acorn_Woodpecker/133917760,2022-09-05 18:35:00,2,38.0411266667,-122.7995216667,mayoung01,https://www.inaturalist.org/observations/133917760,Acorn Woodpecker,228181256.jpg,228181228.jpg
41544323,Allen's Hummingbird,Selasphorus sasin,images/Allens_Hummingbird/41544323,2020-02-20 15:37:00,10,37.7690392879,-122.4748120318,abersbird,https://www.inaturalist.org/observations/41544323,Allens Hummingbird,65913234.jpg,65913243.jpg
98251103,Allen's Hummingbird,Selasphorus sasin,images/Allens_Hummingbird/98251103,2021-10-11 03:43:00,14,34.0194543,-118.4911912,stella_rr,https://www.inaturalist.org/observations/98251103,Allens Hummingbird,163542197.jpg,163542139.jpg
119645378,American Avocet,Recurvirostra americana,images/American_Avocet/119645378,2022-05-31 16:45:00,6,43.3028201405,-79.842126949,jemredwood,https://www.inaturalist.org/observations/119645378,American Avocet,202279866.jpg,202280593.jpg
304599710,American Barn Owl,Tyto furcata,images/American_Barn_Owl/304599710,2025-07-31 10:19 PM,2,37.3799998867,-121.9451974064,usernameforinaturalist,https://www.inaturalist.org/observations/304599710,American Barn Owl,photo_2.jpg,photo_1.jpg
47923115,American Barn Owl,Tyto furcata,images/American_Barn_Owl/47923115,2020-05-30 03:11:19,2,37.8035649525,-122.2611635173,damontighe,https://www.inaturalist.org/observations/47923115,American Barn Owl,76019847.jpg,76019834.jpg
303311164,American Black Duck,Anas rubripes,images/American_Black_Duck/303311164,2025-08-02 04:29:00,7,42.3693250588,-71.0681843921,cantfindphoebe,https://www.inaturalist.org/observations/303311164,American Black Duck,546660984.jpg,546659641.jpg
101375817,American Black Duck,Anas rubripes,images/American_Black_Duck/101375817,2021-11-17 10:35:00,4,42.8630670461,-72.5662270858,ckhunt,https://www.inaturalist.org/observations/101375817,American Black Duck,169296610.jpg,169296581.jpg
97585191,American Coot,Fulica americana,images/American_Coot/97585191,2021-10-08 14:21:22,4,49.2957944444,-123.1508888889,david_dyck,https://www.inaturalist.org/observations/97585191,American Coot,162316408.jpg,162316320.jpg
133859505,American Crow,Corvus brachyrhynchos,images/American_Crow/133859505,2022-09-05 16:55:05,6,49.127728887,-121.9532674857,bluejaybluejay,https://www.inaturalist.org/observations/133859505,American Crow,228073951.jpg,228074012.jpg
139679929,American Crow,Corvus brachyrhynchos,images/American_Crow/139679929,2022-10-22 11:38:37,4,49.1292129495,-121.9538151517,bluejaybluejay,https://www.inaturalist.org/observations/139679929,American Crow,238951244.jpg,238951287.jpg
98259966,American Dipper,Cinclus mexicanus,images/American_Dipper/98259966,2021-10-14 17:37:00,3,47.5864022143,-120.7076417801,brettjackson,https://www.inaturalist.org/observations/98259966,American Dipper,163559234.jpg,163559242.jpg
110365001,American Dipper,Cinclus mexicanus,images/American_Dipper/110365001,2022-04-02 07:53:00,6,9.7504378737,-83.783700934,josh_vandermeulen,https://www.inaturalist.org/observations/110365001,American Dipper,186163807.jpg,186163795.jpg
102120860,American Goldfinch,Spinus tristis,images/American_Goldfinch/102120860,2021-11-27 11:54:00,2,43.071915955,-72.6543806842,ckhunt,https://www.inaturalist.org/observations/102120860,American Goldfinch,170647935.jpg,170647883.jpg
106724475,American Goldfinch,Spinus tristis,images/American_Goldfinch/106724475,2022-02-13 15:10:00,4,44.6936467,-77.2333929,mhalsted,https://www.inaturalist.org/observations/106724475,American Goldfinch,179345285.jpg,179345351.jpg
62945543,American Herring Gull,Larus smithsonianus,images/American_Herring_Gull/62945543,2020-10-18 08:33:00,4,34.031760757,-118.6813867753,andreacala,https://www.inaturalist.org/observations/62945543,American Herring Gull,100940107.jpg,100940156.jpg
47861021,American Kestrel,Falco sparverius,images/American_Kestrel/47861021,2020-05-29 18:50:00,20,38.5915450433,-121.6932366717,phylogenomics,https://www.inaturalist.org/observations/47861021,American Kestrel,75920547.jpg,75920488.jpg
53468618,American Kestrel,Falco sparverius,images/American_Kestrel/53468618,2020-07-14 06:28:00,5,38.8808018993,-120.042829769,jaredmanninen,https://www.inaturalist.org/observations/53468618,American Kestrel,85043644.jpg,85043693.jpg
319498220,American Oystercatcher,Haematopus palliatus,images/American_Oystercatcher/319498220,2024-11-30 17:52:15,2,37.8919483588,-75.3955668216,cbtaylor2,https://www.inaturalist.org/observations/319498220,American Oystercatcher,photo_1.jpg,photo_2.jpg
218862394,American Oystercatcher,Haematopus palliatus,images/American_Oystercatcher/218862394,2024-05-28 05:52:15,7,39.5685312997,-74.2305865997,phillynaturehoods,https://www.inaturalist.org/observations/218862394,American Oystercatcher,387335923.jpg,387334099.jpg
54411197,American Pipit,Anthus rubescens,images/American_Pipit/54411197,2020-07-19 15:20:00,3,44.2734866667,-71.29207,stevendaniel,https://www.inaturalist.org/observations/54411197,American Pipit,86575346.jpg,86575362.jpg
288298467,American Pipit,Anthus rubescens,images/American_Pipit/288298467,2025-06-09 12:53:09,6,39.6628533333,-105.8797,jared_lincenberg,https://www.inaturalist.org/observations/288298467,American Pipit,518445685.jpg,518445693.jpg
141124748,American Redstart,Setophaga ruticilla,images/American_Redstart/141124748,2022-09-19 09:47:00,11,41.7953639287,-87.5773435709,jingyilu,https://www.inaturalist.org/observations/141124748,American Redstart,241690593.jpg,241690641.jpg
148342567,American Redstart,Setophaga ruticilla,images/American_Redstart/148342567,2023-01-20 01:42:13,2,17.2472155339,-90.2928801253,andredepo,https://www.inaturalist.org/observations/148342567,American Redstart,255434784.jpg,255434810.jpg
31467421,American Robin,Turdus migratorius,images/American_Robin/31467421,2014-12-24 12:11:00,3,54.6852690249,158.6212252859,olga2019kuryakova,https://www.inaturalist.org/observations/31467421,American Robin,49252118.jpg,110096006.jpg
114582324,American Tree Sparrow,Spizelloides arborea,images/American_Tree_Sparrow/114582324,2022-05-01 16:01:00,4,48.5056562036,-89.6480121821,ironangel,https://www.inaturalist.org/observations/114582324,American Tree Sparrow,193492923.jpg,193492901.jpg
124055777,American Tree Sparrow,Spizelloides arborea,images/American_Tree_Sparrow/124055777,2022-06-23 09:54:00,2,63.055806,-145.765056,billcarpenter,https://www.inaturalist.org/observations/124055777,American Tree Sparrow,210230838.jpg,210230815.jpg
104144665,American White Pelican,Pelecanus erythrorhynchos,images/American_White_Pelican/104144665,2022-01-01 14:57:00,2,33.3865966667,-81.9589566667,williamwisephoto,https://www.inaturalist.org/observations/104144665,American White Pelican,174966111.jpg,174472939.jpg
231063210,American Wigeon,Mareca americana,images/American_Wigeon/231063210,2024-07-20 20:40:40,2,49.6697718729,-57.963708825,alexws,https://www.inaturalist.org/observations/231063210,American Wigeon,410338106.jpg,410338238.jpg
320864358,American Wigeon,Mareca americana,images/American_Wigeon/320864358,2025-10-13 12:18:00,2,43.2894464943,-79.8863139292,intmedia123,https://www.inaturalist.org/observations/320864358,American Wigeon,580198826.jpg,580200444.jpg
47459225,American Woodcock,Scolopax minor,images/American_Woodcock/47459225,2020-05-23 16:31:00,6,44.1091462783,-68.8316242364,dchernack,https://www.inaturalist.org/observations/47459225,American Woodcock,75216831.jpg,75218302.jpg
86582145,American Woodcock,Scolopax minor,images/American_Woodcock/86582145,2021-07-11 07:00:00,2,42.3068196988,-72.6311060044,andieflorian,https://www.inaturalist.org/observations/86582145,American Woodcock,142657544.jpg,142657518.jpg
262389718,Anhinga,Anhinga anhinga,images/Anhinga/262389718,2025-02-16 11:50:00,3,25.382641495,-80.6098855491,charliebrowncb5,https://www.inaturalist.org/observations/262389718,Anhinga,471398287.jpg,471393906.jpg
15208284,Anna's Hummingbird,Calypte anna,images/Annas_Hummingbird/15208284,2018-08-07 08:47:00,10,37.7750462753,-122.4946410732,alexis_amphibian,https://www.inaturalist.org/observations/15208284,Annas Hummingbird,22750461.jpg,22750426.jpg
36843492,Anna's Hummingbird,Calypte anna,images/Annas_Hummingbird/36843492,2019-12-21 10:33:00,3,36.9825446635,-122.0486726001,jellyturtle,https://www.inaturalist.org/observations/36843492,Annas Hummingbird,58307395.jpg,58307393.jpg
101063177,Ash-throated Flycatcher,Myiarchus cinerascens,images/Ash-throated_Flycatcher/101063177,2021-11-13 12:33:00,6,22.1273066667,-101.0003366667,jartigas,https://www.inaturalist.org/observations/101063177,Ash-throated Flycatcher,168737730.jpg,168737732.jpg
29766239,Bald Eagle,Haliaeetus leucocephalus,images/Bald_Eagle/29766239,2019-03-09 15:17:00,43,44.2322052291,-76.4741337172,rejeanlemay,https://www.inaturalist.org/observations/29766239,Bald Eagle,46472089.jpg,46472130.jpg
314686727,Bald Eagle,Haliaeetus leucocephalus,images/Bald_Eagle/314686727,2025-09-16 09:52:00,11,39.0778037235,-86.3500098222,nancylightfoot,https://www.inaturalist.org/observations/314686727,Bald Eagle,568389629.jpg,568389443.jpg
214278051,Baltimore Oriole,Icterus galbula,images/Baltimore_Oriole/214278051,2024-05-07 15:33:00,2,44.845414,-73.361325,wormslurry,https://www.inaturalist.org/observations/214278051,Baltimore Oriole,378719460.jpg,378719455.jpg
108046533,Bank Swallow,Riparia riparia,images/Bank_Swallow/108046533,2022-03-06 18:35:00,3,39.4371024179,-8.4505834618,paulomartins,https://www.inaturalist.org/observations/108046533,Bank Swallow,181838410.jpg,181838155.jpg
161834431,Bank Swallow,Riparia riparia,images/Bank_Swallow/161834431,2019-08-08 11:45:00,2,54.308647081,10.7434158875,anduck,https://www.inaturalist.org/observations/161834431,Bank Swallow,279761437.jpg,279761384.jpg
84421375,Barn Swallow,Hirundo rustica,images/Barn_Swallow/84421375,2021-06-13 10:03:00,4,41.4043889039,-8.513622896,marioestevens,https://www.inaturalist.org/observations/84421375,Barn Swallow,138753525.jpg,138753521.jpg
260663994,Barn Swallow,Hirundo rustica,images/Barn_Swallow/260663994,2025-01-31 22:14:00,3,-34.6075293,-58.3522074,dermochelys,https://www.inaturalist.org/observations/260663994,Barn Swallow,photo_3.jpg,photo_1.jpg
34664610,Barred Owl,Strix varia,images/Barred_Owl/34664610,2019-10-20 13:34:00,2,44.4968086743,-73.2429562308,kyletansley,https://www.inaturalist.org/observations/34664610,Barred Owl,54581893.jpg,54581797.jpg
37656500,Barred Owl,Strix varia,images/Barred_Owl/37656500,2020-01-16 10:27:00,4,43.783774,-72.610936,sarahbirdwebb,https://www.inaturalist.org/observations/37656500,Barred Owl,59741903.jpg,59741755.jpg
101992257,Barrow's Goldeneye,Bucephala islandica,images/Barrows_Goldeneye/101992257,2021-11-26 15:08:00,3,38.6361281914,-121.2239036167,ken_mateik,https://www.inaturalist.org/observations/101992257,Barrows Goldeneye,170408959.jpg,170408802.jpg
194590874,Barrow's Goldeneye,Bucephala islandica,images/Barrows_Goldeneye/194590874,2023-12-22 10:12:00,5,42.331425,-71.0190133333,batfalcon2,https://www.inaturalist.org/observations/194590874,Barrows Goldeneye,342091706.jpg,342091432.jpg
134033121,Bay-breasted Warbler,Setophaga castanea,images/Bay-breasted_Warbler/134033121,2022-09-07 10:07:59,3,45.6734904423,-65.8031981995,shanemercer,https://www.inaturalist.org/observations/134033121,Bay-breasted Warbler,228399650.jpg,228399762.jpg
148211676,Bay-breasted Warbler,Setophaga castanea,images/Bay-breasted_Warbler/148211676,2023-02-06 00:00:00,2,8.9683222531,-79.5673679933,raul43,https://www.inaturalist.org/observations/148211676,Bay-breasted Warbler,255184059.jpg,256780465.jpg
179360287,Bell's Vireo,Vireo bellii,images/Bells_Vireo/179360287,2023-08-20 08:26:59,2,38.8833462595,-94.8907511597,mickylouis,https://www.inaturalist.org/observations/179360287,Bells Vireo,312242401.jpg,312242452.jpg
279026480,Bell's Vireo,Vireo bellii,images/Bells_Vireo/279026480,2025-04-30 21:51:00,2,31.698039,-111.022234,leekelai,https://www.inaturalist.org/observations/279026480,Bells Vireo,photo_1.jpg,photo_2.jpg
67763025,Belted Kingfisher,Megaceryle alcyon,images/Belted_Kingfisher/67763025,2021-01-08 14:55:00,3,33.771305,-83.698045,williamwisephoto,https://www.inaturalist.org/observations/67763025,Belted Kingfisher,109567805.jpg,109567774.jpg
121827162,Belted Kingfisher,Megaceryle alcyon,images/Belted_Kingfisher/121827162,2022-06-14 20:24:00,2,39.752575,-78.6814583333,pachips,https://www.inaturalist.org/observations/121827162,Belted Kingfisher,206202271.jpg,206202266.jpg
106419781,Bewick's Wren,Thryomanes bewickii,images/Bewicks_Wren/106419781,2022-02-08 10:25:25,4,45.6367542093,-122.7796971198,littlelegofan,https://www.inaturalist.org/observations/106419781,Bewicks Wren,178766878.jpg,178766863.jpg
145987168,Black Guillemot,Cepphus grylle,images/Black_Guillemot/145987168,2022-12-29 10:51:00,2,45.0514841254,-66.8956640886,kentross,https://www.inaturalist.org/observations/145987168,Black Guillemot,250879655.jpg,250879691.jpg
152628753,Black Guillemot,Cepphus grylle,images/Black_Guillemot/152628753,2023-03-24 12:00:00,3,70.3761237272,31.1058294536,emoq,https://www.inaturalist.org/observations/152628753,Black Guillemot,263504808.jpg,263504921.jpg
72022184,Black Oystercatcher,Haematopus bachmani,images/Black_Oystercatcher/72022184,2019-10-14 11:49:00,3,48.1219573633,-122.752371471,fluffyinca,https://www.inaturalist.org/observations/72022184,Black Oystercatcher,117351512.jpg,117351491.jpg
88613055,Black Oystercatcher,Haematopus bachmani,images/Black_Oystercatcher/88613055,2021-07-18 11:00:00,7,48.0885635157,-122.7350132557,fluffyinca,https://www.inaturalist.org/observations/88613055,Black Oystercatcher,146151919.jpg,146151945.jpg
90495516,Black Phoebe,Sayornis nigricans,images/Black_Phoebe/90495516,2021-08-08 10:06:00,4,38.5257959299,-121.79210469,mitchm44,https://www.inaturalist.org/observations/90495516,Black Phoebe,149570408.jpg,149570480.jpg
99054920,Black Phoebe,Sayornis nigricans,images/Black_Phoebe/99054920,2021-10-17 14:33:12,2,45.5528114968,-122.4897987492,amytimmins,https://www.inaturalist.org/observations/99054920,Black Phoebe,165049648.jpg,165049654.jpg
308323432,Black Rosy-Finch,Leucosticte atrata,images/Black_Rosy-Finch/308323432,2025-06-27 11:28:11,2,43.448107344,-110.5742089004,averybl,https://www.inaturalist.org/observations/308323432,Black Rosy-Finch,556248438.jpg,556248464.jpg
99797122,Black Scoter,Melanitta americana,images/Black_Scoter/99797122,2021-10-30 08:37:00,4,46.827841893,-84.4124164266,stphip,https://www.inaturalist.org/observations/99797122,Black Scoter,166441749.jpg,166441734.jpg
131008805,Black Scoter,Melanitta americana,images/Black_Scoter/131008805,2022-08-15 15:14:00,3,40.5894353,-73.5544069,lycophidion,https://www.inaturalist.org/observations/131008805,Black Scoter,222894935.jpg,222880530.jpg
140359679,Black Skimmer,Rynchops niger,images/Black_Skimmer/140359679,2021-08-19 20:58:00,4,30.4110088,-81.4204882,cheriphillips,https://www.inaturalist.org/observations/140359679,Black Skimmer,240252839.jpg,240252883.jpg
171325230,Black Tern,Chlidonias niger,images/Black_Tern/171325230,2023-07-02 11:52:00,4,34.741375681,-76.4705051423,djlavor,https://www.inaturalist.org/observations/171325230,Black Tern,297282213.jpg,297281999.jpg
129626885,Black Tern,Chlidonias niger,images/Black_Tern/129626885,2022-08-05 19:56:23,4,44.0628627141,-123.2650917646,holyegg,https://www.inaturalist.org/observations/129626885,Black Tern,220316521.jpg,220323511.jpg
84595622,Black Turnstone,Arenaria melanocephala,images/Black_Turnstone/84595622,2021-06-26 08:06:00,3,60.8482037067,-161.3383782567,dannynelson94,https://www.inaturalist.org/observations/84595622,Black Turnstone,139050953.jpg,139051402.jpg
129514100,Black Turnstone,Arenaria melanocephala,images/Black_Turnstone/129514100,2022-08-04 21:57:00,4,60.8025786777,-135.099687,tallard,https://www.inaturalist.org/observations/129514100,Black Turnstone,220177601.jpg,220177634.jpg
262337647,Black Vulture,Coragyps atratus,images/Black_Vulture/262337647,2023-01-16 16:46:00,2,30.7482295162,-98.3576497422,sethshively,https://www.inaturalist.org/observations/262337647,Black Vulture,471291795.jpg,471291188.jpg
64019752,Black Vulture,Coragyps atratus,images/Black_Vulture/64019752,2019-03-25 22:24:00,3,9.9497769,-85.6745302516,oscar213,https://www.inaturalist.org/observations/64019752,Black Vulture,102849946.jpg,102849927.jpg
154432995,Black-and-white Warbler,Mniotilta varia,images/Black-and-white_Warbler/154432995,2023-03-11 14:07:00,2,17.5814297603,-89.9949695984,ricardelremate,https://www.inaturalist.org/observations/154432995,Black-and-white Warbler,266843136.jpg,266839571.jpg
169516051,Black-and-white Warbler,Mniotilta varia,images/Black-and-white_Warbler/169516051,2023-06-25 13:46:00,2,45.0888175354,-67.0568411063,gorehamster,https://www.inaturalist.org/observations/169516051,Black-and-white Warbler,293887768.jpg,293887795.jpg
62885323,Black-bellied Plover,Pluvialis squatarola,images/Black-bellied_Plover/62885323,2020-10-17 10:14:00,4,18.3781565998,-70.0462505632,franklinhowley,https://www.inaturalist.org/observations/62885323,Black-bellied Plover,100835003.jpg,100835015.jpg
73295179,Black-bellied Plover,Pluvialis squatarola,images/Black-bellied_Plover/73295179,2017-11-15 12:26:00,3,23.4620291779,119.5112693129,lava_chen,https://www.inaturalist.org/observations/73295179,Black-bellied Plover,119641794.jpg,119641687.jpg
44371597,Black-bellied Whistling-Duck,Dendrocygna autumnalis,images/Black-bellied_Whistling-Duck/44371597,2020-04-30 10:46:00,4,27.6048291453,-80.4447697266,anhingas,https://www.inaturalist.org/observations/44371597,Black-bellied Whistling-Duck,70351037.jpg,70351466.jpg
45063095,Black-bellied Whistling-Duck,Dendrocygna autumnalis,images/Black-bellied_Whistling-Duck/45063095,2020-05-06 07:54:58,4,39.27070333,-76.17192667,barbara058,https://www.inaturalist.org/observations/45063095,Black-bellied Whistling-Duck,71445711.jpg,71445702.jpg
95318253,Black-billed Cuckoo,Coccyzus erythropthalmus,images/Black-billed_Cuckoo/95318253,2021-09-14 08:35:00,2,44.7577545672,-71.7320987863,susanelliott,https://www.inaturalist.org/observations/95318253,Black-billed Cuckoo,158224460.jpg,158225336.jpg
265457504,Black-billed Cuckoo,Coccyzus erythropthalmus,images/Black-billed_Cuckoo/265457504,2025-03-15 15:30:26,3,0.0296683333,-78.8659,pedro74,https://www.inaturalist.org/observations/265457504,Black-billed Cuckoo,photo_1.jpg,photo_3.jpg
108197805,Black-billed Magpie,Pica hudsonia,images/Black-billed_Magpie/108197805,2022-03-08 10:59:00,2,39.48056,-106.0469883333,evanwillstopforplants,https://www.inaturalist.org/observations/108197805,Black-billed Magpie,182122981.jpg,182122958.jpg
116789871,Black-billed Magpie,Pica hudsonia,images/Black-billed_Magpie/116789871,2022-05-11 17:33:00,3,54.0235534836,-109.1603171673,sunrise37,https://www.inaturalist.org/observations/116789871,Black-billed Magpie,197175609.jpg,197175781.jpg
82954735,Black-capped Chickadee,Poecile atricapillus,images/Black-capped_Chickadee/82954735,2021-06-10 15:12:00,4,40.7741504444,-111.8682972979,tantor,https://www.inaturalist.org/observations/82954735,Black-capped Chickadee,136197722.jpg,136197766.jpg
93952311,Black-capped Chickadee,Poecile atricapillus,images/Black-capped_Chickadee/93952311,2021-09-06 14:41:00,5,45.1266487004,-67.09408067,blakemross,https://www.inaturalist.org/observations/93952311,Black-capped Chickadee,155785827.jpg,155785914.jpg
70603262,Black-chinned Hummingbird,Archilochus alexandri,images/Black-chinned_Hummingbird/70603262,2020-12-23 08:21:00,9,30.8868533997,-83.8032464,cliygh-and-mia,https://www.inaturalist.org/observations/70603262,Black-chinned Hummingbird,114809461.jpg,114809455.jpg
71011130,Black-chinned Hummingbird,Archilochus alexandri,images/Black-chinned_Hummingbird/71011130,2021-03-11 08:45:40,5,29.7218583333,-95.414245,jlwebber,https://www.inaturalist.org/observations/71011130,Black-chinned Hummingbird,134936625.jpg,115553478.jpg
286697300,Black-crested Titmouse,Baeolophus atricristatus,images/Black-crested_Titmouse/286697300,2025-06-03 14:56:00,2,29.8747183333,-98.4867333333,narwahl,https://www.inaturalist.org/observations/286697300,Black-crested Titmouse,515435764.jpg,515436117.jpg
37706114,Black-crowned Night Heron,Nycticorax nycticorax,images/Black-crowned_Night-Heron/37706114,2014-08-05 11:55:00,5,48.5498731992,44.5489458412,urusovaalina,https://www.inaturalist.org/observations/37706114,Black-crowned Night-Heron,59830179.jpg,59830080.jpg
68659958,Black-crowned Night Heron,Nycticorax nycticorax,images/Black-crowned_Night-Heron/68659958,2021-01-25 16:16:18,4,27.9551638559,-81.8605525916,jdlacy,https://www.inaturalist.org/observations/68659958,Black-crowned Night-Heron,111234277.jpg,111234269.jpg
63018604,Black-headed Grosbeak,Pheucticus melanocephalus,images/Black-headed_Grosbeak/63018604,2020-10-19 10:36:00,3,19.0573807703,-98.2260459844,bodofzt,https://www.inaturalist.org/observations/63018604,Black-headed Grosbeak,101070475.jpg,101070487.jpg
67824068,Black-headed Grosbeak,Pheucticus melanocephalus,images/Black-headed_Grosbeak/67824068,2021-01-02 09:38:00,2,19.697545348,-98.9874661942,tari,https://www.inaturalist.org/observations/67824068,Black-headed Grosbeak,109670277.jpg,109670292.jpg
102334894,Black-legged Kittiwake,Rissa tridactyla,images/Black-legged_Kittiwake/102334894,2021-12-01 16:55:00,2,37.6109419777,-104.8438579766,vantruan,https://www.inaturalist.org/observations/102334894,Black-legged Kittiwake,171039249.jpg,171131689.jpg
105755681,Black-legged Kittiwake,Rissa tridactyla,images/Black-legged_Kittiwake/105755681,2022-01-27 00:00:00,4,13.4896364124,100.5446242914,niran_anurakpongsathorn,https://www.inaturalist.org/observations/105755681,Black-legged Kittiwake,177515581.jpg,177515568.jpg
193915882,Black-necked Stilt,Himantopus mexicanus,images/Black-necked_Stilt/193915882,2023-12-10 09:37:11,4,20.9060612134,-104.0042423246,reximiliano,https://www.inaturalist.org/observations/193915882,Black-necked Stilt,340724169.jpg,340724182.jpg
41153844,Black-tailed Gnatcatcher,Polioptila melanura,images/Black-tailed_Gnatcatcher/41153844,2020-03-31 08:37:00,2,33.6854542259,-115.2782186776,nmoorhatch,https://www.inaturalist.org/observations/41153844,Black-tailed Gnatcatcher,65261540.jpg,65261491.jpg
68303150,Black-tailed Gnatcatcher,Polioptila melanura,images/Black-tailed_Gnatcatcher/68303150,2021-01-18 14:37:56,2,33.6711642193,-116.4108371332,cae1,https://www.inaturalist.org/observations/68303150,Black-tailed Gnatcatcher,110563737.jpg,110563605.jpg
139807315,Black-throated Blue Warbler,Setophaga caerulescens,images/Black-throated_Blue_Warbler/139807315,2022-10-23 10:01:00,2,37.6520521111,-122.3786037222,tiwane,https://www.inaturalist.org/observations/139807315,Black-throated Blue Warbler,239195892.jpg,239195901.jpg
143145821,Black-throated Blue Warbler,Setophaga caerulescens,images/Black-throated_Blue_Warbler/143145821,2022-11-27 12:13:00,4,20.9489512594,-89.5772433445,trinchan,https://www.inaturalist.org/observations/143145821,Black-throated Blue Warbler,245468334.jpg,245468347.jpg
134092062,Black-throated Gray Warbler,Setophaga nigrescens,images/Black-throated_Gray_Warbler/134092062,2022-08-24 08:19:00,2,23.8892141788,-110.194204523,el_andariego,https://www.inaturalist.org/observations/134092062,Black-throated Gray Warbler,228502449.jpg,228502144.jpg
137365005,Black-throated Gray Warbler,Setophaga nigrescens,images/Black-throated_Gray_Warbler/137365005,2022-10-02 16:22:00,3,34.1582861111,-118.2977194444,sessilefielder,https://www.inaturalist.org/observations/137365005,Black-throated Gray Warbler,234585946.jpg,234585968.jpg
143445418,Black-throated Green Warbler,Setophaga virens,images/Black-throated_Green_Warbler/143445418,2022-11-20 08:58:00,2,16.8264682014,-93.2852534197,jhumbertocg,https://www.inaturalist.org/observations/143445418,Black-throated Green Warbler,246005623.jpg,246005639.jpg
153254394,Black-throated Green Warbler,Setophaga virens,images/Black-throated_Green_Warbler/153254394,2023-03-23 09:20:00,2,18.8912921738,-96.9430909692,paopao1526,https://www.inaturalist.org/observations/153254394,Black-throated Green Warbler,264670375.jpg,264683821.jpg
44269074,Blackburnian Warbler,Setophaga fusca,images/Blackburnian_Warbler/44269074,2020-02-25 12:34:00,4,6.0517931382,-75.3326777477,camilojotage,https://www.inaturalist.org/observations/44269074,Blackburnian Warbler,70180748.jpg,70180682.jpg
82430300,Blackburnian Warbler,Setophaga fusca,images/Blackburnian_Warbler/82430300,2021-06-09 15:58:07,4,39.6325864,-79.1222523,mattyfelp,https://www.inaturalist.org/observations/82430300,Blackburnian Warbler,135287515.jpg,135287597.jpg
63386308,Blackpoll Warbler,Setophaga striata,images/Blackpoll_Warbler/63386308,2020-10-23 10:52:00,3,40.7025145533,-79.5120141701,theorickert,https://www.inaturalist.org/observations/63386308,Blackpoll Warbler,101717209.jpg,101717204.jpg
147592441,Blue Grosbeak,Passerina caerulea,images/Blue_Grosbeak/147592441,2023-01-27 09:05:00,2,20.7637990903,-103.3782111624,reximiliano,https://www.inaturalist.org/observations/147592441,Blue Grosbeak,253997956.jpg,253997937.jpg
108559881,Blue Jay,Cyanocitta cristata,images/Blue_Jay/108559881,2022-03-13 12:08:00,6,44.6936467,-77.2333929,mhalsted,https://www.inaturalist.org/observations/108559881,Blue Jay,182799456.jpg,182799575.jpg
