observation_id,common_name,scientific_name,relative_path,observed_on,photo_count,latitude,longitude,user_login,inat_url,image_1,image_2
302855772,African Jacana,Actophilornis africanus,images/Actophilornis_africanus/302855772,2025-07-31 16:18:38,2,-25.362225,31.8938444444,mlody-zgred,https://www.inaturalist.org/observations/302855772,545828697.jpg,545828651.jpg
310411434,African Pied Wagtail,Motacilla aguimp,images/Motacilla_aguimp/310411434,2025-08-29 17:33:53,2,-1.4304616667,29.56358,tnwildbeauty,https://www.inaturalist.org/observations/310411434,560237314.jpg,560237295.jpg
321846987,African Spoonbill,Platalea alba,images/Platalea_alba/321846987,2025-10-18 12:08:24,3,-34.023713826,23.0096123368,eastford,https://www.inaturalist.org/observations/321846987,582119170.jpg,582119443.jpg
292408521,Alaskan Oregon Junco,Junco hyemalis oreganus,images/Junco_hyemalis_oreganus/292408521,2025-06-23 14:29:12,2,49.352803758,-123.1151192649,robin04,https://www.inaturalist.org/observations/292408521,526201473.jpg,526201523.jpg
280025310,Altamira Oriole,Icterus gularis,images/Icterus_gularis/280025310,2025-04-30 17:19:41,2,18.4883827596,-94.9920606986,luis_emmanuel3,https://www.inaturalist.org/observations/280025310,502893884.jpg,502893954.jpg
261337896,Amazon Kingfisher,Chloroceryle amazona,images/Chloroceryle_amazona/261337896,2025-01-30 15:39:00,2,17.0701,-89.4044694444,philippe-rabaute,https://www.inaturalist.org/observations/261337896,469488274.jpg,469488471.jpg
319431269,American Bittern,Botaurus lentiginosus,images/Botaurus_lentiginosus/319431269,2025-09-30 00:00:00,10,21.2694527375,-99.7174323723,ecag,https://www.inaturalist.org/observations/319431269,577417417.jpg,577417555.jpg
305117210,American Flamingo,Phoenicopterus ruber,images/Phoenicopterus_ruber/305117210,2025-07-31 16:01:00,4,-1.2340166667,-90.3926466667,thomasabenson,https://www.inaturalist.org/observations/305117210,550105320.jpg,550105287.jpg
267846566,American Golden-Plover,Pluvialis dominica,images/Pluvialis_dominica/267846566,2025-03-29 11:28:00,2,33.7317451925,-96.7773388523,leasw2,https://www.inaturalist.org/observations/267846566,481391219.jpg,481391224.jpg
276883538,American Great Gray Owl,Strix nebulosa nebulosa,images/Strix_nebulosa/276883538,2025-04-29 14:36:15,3,46.4915377957,-116.3200431966,tyler_barron,https://www.inaturalist.org/observations/276883538,497195196.jpg,497195241.jpg
303600221,American Pygmy Kingfisher,Chloroceryle aenea,images/Chloroceryle_aenea/303600221,2025-07-31 13:25:19,2,20.8547973631,-90.3905410764,luanawoca,https://www.inaturalist.org/observations/303600221,547225510.jpg,547225541.jpg
302672321,American Three-toed Woodpecker,Picoides dorsalis,images/Picoides_dorsalis/302672321,2025-07-31 12:37:34,2,55.1099996683,-118.7589095905,leprechaunpalooza,https://www.inaturalist.org/observations/302672321,545489893.jpg,545489836.jpg
294200241,Aplomado Falcon,Falco femoralis,images/Falco_femoralis/294200241,2025-06-28 10:23:31,5,-32.341532722,-71.4543948,gbrl_nativa,https://www.inaturalist.org/observations/294200241,529525599.jpg,529525571.jpg
198388629,Arctic Tern,Sterna paradisaea,images/Sterna_paradisaea/198388629,2024-01-29 19:53:00,2,-67.6034,62.8738,rgclayt,https://www.inaturalist.org/observations/198388629,349657021.jpg,349658101.jpg
256422563,Atlantic Puffin,Fratercula arctica,images/Fratercula_arctica/256422563,2024-12-27 14:44:56,4,49.6061904918,-57.9570474596,alexws,https://www.inaturalist.org/observations/256422563,459747663.jpg,459747671.jpg
278645483,Audubon's Warbler,Setophaga coronata auduboni,images/Setophaga_coronata_auduboni/278645483,2025-04-30 18:32:47,3,38.545817518,-106.9253205881,vanenriq07,https://www.inaturalist.org/observations/278645483,500335524.jpg,500335939.jpg
